disz
d
c
u
asz
a
na
▁a
ki
▁u
ma
ta
gesz
▁mu
▁sila
▁i
ba
▁ur
▁ba
ban
▁lugal
du
bi
la
ra
ga
da
e
▁ki
▁x
▁lu
ni
barig
sze
x
▁e
▁sze
▁sza
▁szu
szu
n
▁iti
ti
▁dumu
▁gu
▁gur
ku
▁ma
mu
kam
sa
sza
▁gin
gal
i
▁udu
▁ku
li
t
gu
gi
an
ka
nu
▁la
zi
en
lu
um
ri
nin
am
▁kasz
▁masz
▁m
sar
suen
me
ru
su
▁zi
▁du
▁szunigin
▁en
dumu
▁sa
▁ninda
▁dub
▁kiszib
zu
▁gan
tu
▁us
babbar
iku
hul
▁tug
▁na
▁nu
tug
lil
si
gar
pa
▁an
ur
im
ne
sag
▁nig
▁niga
kal
▁ab
▁gurusz
▁giri
ab
bu
mah
di
za
▁ugula
lum
mi
▁ga
▁ka
ia
tum
ha
gur
dingir
dab
ke
szul
igi
szara
bur
esz
ib
utu
▁ezem
▁ensi
de
▁gesz
▁da
▁si
▁sag
s
▁arad
in
hu
▁gi
▁szum
szi
▁nin
gin
▁in
▁uri
ar
▁ha
▁nam
al
nanna
▁igi
bar
tim
kux
il
m
lugal
usz
nun
inanna
▁za
▁siki
re
szum
masz
▁sar
▁geme
szur
esze
▁su
▁pa
at
pi
▁szesz
hi
▁im
isz
▁li
▁isz
▁hi
▁naga
mesz
▁saga
iti
▁hu
▁kal
banda
▁ni
▁kusz
hun
nig
b
▁dingir
er
ak
▁gal
nita
▁usz
dub
▁amar
▁tu
▁ta
▁um
szar
lam
sig
munus
ub
dam
▁me
▁bar
gan
us
kur
▁s
▁al
▁zu
dar
▁asz
▁sig
pu
tur
▁dar
te
▁dug
▁mar
▁engar
▁mi
ge
iszkur
▁puzur
gir
amar
▁kur
un
▁bala
▁gub
▁be
▁sukkal
▁bad
iri
▁szi
ul
▁dam
be
▁bi
ag
▁maszkim
nam
ir
▁ib
▁kin
▁erin
y
num
muszen
nim
▁ud
zal
▁ad
▁unu
dim
▁inim
wa
nigar
▁nita
lim
▁umma
▁ina
▁gir
▁he
▁dabin
▁t
nigin
gigir
numun
▁id
sal
mes
gid
▁sipa
▁bu
tam
tar
▁ar
kiszib
▁ak
▁ne
ig
▁limmu
ah
qi
▁wa
▁il
kusz
▁ti
▁ra
▁ansze
uruda
▁ziz
▁esz
qu
▁n
▁kas
nansze
▁di
mar
v
r
udu
▁diri
lik
▁gid
dul
▁tur
▁szabra
sila
kiri
▁kar
▁szar
szubur
aktum
qa
▁qi
▁nibru
he
▁iri
▁ug
▁ri
lamma
▁dida
▁gar
blank
▁am
▁sanga
▁space
▁lagasz
tuku
▁ama
uh
le
up
▁uruda
▁eridu
kar
sud
▁zabar
▁szusz
ezem
szesz
ansze
▁gaba
it
g
musz
nir
▁min
kin
▁qa
▁ge
tukul
arad
▁munus
▁aga
unu
ninda
kum
▁hun
ut
siki
id
qe
szunigin
giri
inim
▁te
bad
▁pu
▁it
f
hur
iq
tab
wi
▁sagi
lal
saga
gada
▁mah
bala
is
tag
gub
▁szuku
min
rum
▁gen
▁er
lak
ap
▁szim
marduk
▁munu
har
din
▁guz
gen
▁ir
▁esir
ugula
gaba
se
el
▁duh
kwu
▁bur
lah
▁sahar
isztaran
▁babbar
mur
▁dur
bil
edin
szim
as
ik
em
▁siskur
▁gukkal
▁kir
alim
▁szah
▁esza
▁dab
dur
uri
muhaldim
▁apin
▁har
▁kab
▁gig
▁pi
▁gada
abzu
▁muhaldim
h
▁dal
▁bara
▁at
ip
▁musz
▁gudu
▁ugu
qar
duru
maszkim
tusz
eb
▁nagar
▁tar
pesz
par
▁kun
dara
▁nesag
szub
gesztin
▁kuruszda
▁tab
ug
▁sal
apin
▁ul
aszxdisz
dum
▁elam
sur
▁numun
▁tum
ninnu
▁pap
▁gala
▁ru
▁ip
gul
lagar
▁nar
sz
▁kaskal
kaskal
sikil
▁didli
erim
▁nimgir
sukkal
kesz
mug
▁gibil
▁gurum
▁gaz
kunga
▁nigin
sin
uk
▁ub
▁ses
▁hur
geme
▁eme
▁szubur
▁uz
▁dusu
▁hul
▁aszgab
szah
gurusz
▁mes
▁szitim
▁de
▁azlag
▁ik
▁simug
▁nun
gibil
erin
suh
▁h
gisz
▁dagal
hal
▁muszen
▁pisan
kasz
luh
dug
▁gesztin
dun
namma
▁ze
anzu
we
▁szuszin
tal
gig
uz
kas
sipa
▁is
▁guru
pe
▁ap
ze
haszhur
kir
diri
tir
▁szimaszgi
▁kesz
pap
▁re
▁lak
k
guru
kul
▁kalam
tesz
▁tir
▁ig
▁szul
urta
▁lunga
uszur
tak
▁gug
gara
nesag
▁utu
▁anzu
▁bappir
sun
q
▁zah
▁dan
til
kalam
man
▁lid
kup
▁p
nag
▁szeg
▁abzu
▁pesz
az
silim
▁mun
▁til
▁nigar
rig
▁dara
▁muru
▁lum
▁tup
▁sumun
gam
▁tusz
▁libir
nisaba
kikken
▁gurdub
uru
▁kikken
▁gazi
iz
▁babila
▁dilmun
engar
▁sikil
▁buru
▁had
▁ag
kisz
▁gab
ukken
ziz
ugu
▁szid
qal
zabar
▁iq
bat
▁mug
ih
▁sur
▁nag
bal
▁duru
eh
kab
szita
▁tak
▁kisz
abba
kiszi
sakar
▁se
ensi
▁tuku
▁sin
▁tag
▁zar
▁nir
sahar
lul
▁kunga
▁tul
pirig
▁gun
▁hal
qul
▁bahar
▁murgu
▁saggal
▁imgaga
illat
tul
▁alan
▁lal
▁dim
aq
▁szagina
kan
p
▁adab
gab
sir
mul
ep
▁az
▁szal
▁lib
kun
gaz
gug
▁ukken
dag
eme
uq
nagar
bir
▁tam
▁egir
▁bir
dah
szid
hab
▁sukud
▁qe
gurx
▁gam
kak
▁edin
gun
sim
j
▁k
▁nim
mil
▁gul
▁tukum
zax
▁as
▁gurx
▁iszib
▁agar
nusku
▁bil
▁aq
▁szer
▁pirig
zex
▁suhur
nimgir
▁kisal
zum
z
gag
▁ambar
kisal
tin
▁suhusz
et
▁lam
▁zal
lagab
▁szita
▁banszur
▁szub
▁le
l
zah
hendur
▁bulug
uszumgal
▁gisz
▁ih
szinig
reb
▁ke
▁man
balag
munu
pisan
▁mur
asznan
dusu
▁gesztu
▁aktum
szer
▁zatu
tap
geszimmar
husz
▁uzu
nidba
▁zabala
lagasz
nindax
▁iz
▁zimbir
▁husz
bappir
▁kak
sagszu
egir
▁agrig
pil
bit
dilmun
szal
▁szandana
zag
sum
qum
szusz
▁eb
▁nidba
sanga
▁gag
▁ah
▁dah
▁szagan
banszur
suhub
▁lukur
▁gissu
▁pe
▁bilx
gesztu
asal
mir
zara
gazi
gil
rat
sub
▁el
▁amasz
▁adkin
gum
▁szuruppak
▁szir
▁b
▁lul
▁tal
dili
▁lagab
bulug
▁nunuz
eri
mete
▁dib
▁ganun
temen
▁ep
zam
▁umbin
lagabx
▁zadim
dih
lukur
▁dag
bum
▁qu
▁surx
szagina
szir
▁silim
gissu
szakkan
▁bal
▁gaszam
qab
isin
siskur
▁larsa
sumun
hir
rim
esir
dalla
rib
▁balag
szabra
ildu
bul
libir
gilgames
zigum
gim
lat
▁enku
▁kul
▁luh
hub
▁udru
titab
▁giszgal
suhusz
ibila
▁abgal
▁tibira
▁dili
zabala
asalx
wu
tiszpak
pur
szag
▁erim
szak
gamun
pisz
▁dalla
szam
▁sum
▁kib
hum
xtil
▁dul
tah
▁mim
gubalag
limmu
tibir
▁lulim
rinx
eren
zalag
nunuz
▁suh
szup
eq
▁idigna
▁nab
idigna
xpap
▁tap
es
alan
simug
▁unug
nergal
▁mul
▁kum
garig
kil
urxa
gidri
▁tara
▁nap
geszkim
▁mer
▁szakkan
▁rad
▁sim
unken
tel
▁gil
urua
hixasz
murgu
▁illu
szitim
pat
dabin
▁men
▁gidri
▁qar
▁sun
mer
▁zag
duh
agrig
szab
surx
urudu
▁lugud
ter
▁gim
kap
lunga
szimx
▁agargara
▁ellag
ezen
liq
▁eden
kuruszda
▁uk
eridu
lagabxha
ildag
▁geszimmar
▁szab
ner
szagan
szeg
buranun
aszgab
elam
pir
▁uh
umbin
zur
saman
▁qaq
urux
suhur
▁g
dugx
narx
▁up
▁kislah
idim
sik
▁urudu
▁sagszu
▁udul
szib
▁zalag
guzza
gurdub
▁hub
muszx
▁sah
▁ugnim
▁durun
lugud
▁wu
▁qer
▁lem
rak
▁temen
tuk
tilla
szudul
▁sug
bilx
▁kinda
▁szag
▁mangaga
▁szap
▁geszbun
hasz
▁sirara
▁abul
▁tukul
▁utua
▁zum
lx
▁pir
muru
szit
▁hab
▁esztub
▁buranun
▁arhusz
▁rib
▁lip
sukud
arhusz
szakir
▁nisi
▁lisz
qam
gaszan
nibru
▁urua
▁zur
▁muh
o
nerah
▁tah
▁ezen
▁kiszi
sak
▁uszur
▁geszgal
hap
qur
▁mal
▁sir
kip
▁par
ellag
▁ger
▁szit
▁tuk
kaxx
mudra
▁nagga
nap
azlag
qit
imin
▁galam
▁szilig
puzur
usan
lib
sah
ezina
▁dugud
zak
taskarin
▁szup
▁gidim
bx
▁dadag
xbad
▁din
pum
▁kuara
maxgan
pal
suk
geszmin
▁uszumgal
▁nimbar
pul
▁ter
